[2026-05-21T16:51:45.039Z] applyHighlights: no active editor
[2026-05-21T16:51:45.554Z] applyHighlights: no active editor
[2026-05-21T16:51:46.057Z] applyHighlights: no active editor
[2026-05-21T16:51:46.560Z] applyHighlights: no active editor
[2026-05-21T16:51:47.075Z] applyHighlights: no active editor
[2026-05-21T16:51:47.583Z] applyHighlights: no active editor
[2026-05-21T16:51:48.092Z] applyHighlights: no active editor
[2026-05-21T16:51:48.593Z] applyHighlights: no active editor
[2026-05-21T16:51:49.094Z] applyHighlights: no active editor
[2026-05-21T16:51:49.593Z] applyHighlights: no active editor
[2026-05-21T16:51:50.108Z] applyHighlights: no active editor
[2026-05-21T16:51:50.608Z] applyHighlights: no active editor
[2026-05-21T16:51:51.109Z] applyHighlights: no active editor
[2026-05-21T16:51:51.625Z] applyHighlights: no active editor
[2026-05-21T16:51:52.137Z] applyHighlights: no active editor
[2026-05-21T16:51:52.641Z] applyHighlights: no active editor
[2026-05-21T16:51:53.143Z] applyHighlights: no active editor
[2026-05-21T16:51:53.658Z] applyHighlights: no active editor
